Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Epimap_v3_Reproductive_prostate_male_adult__54_years_	9.704147460497547e-07	1.7491736865603505e-07	1.4460464111339863e-08
Epimap_v3_Pancreas_body_of_pancreas_male_adult__37_years_	2.8924906291770166e-07	5.972135705412842e-08	6.384682063699454e-07
Epimap_v3_Pancreas_body_of_pancreas_female_adult__53_years_	4.4888353806373256e-07	9.585037710149294e-08	1.4123654723302572e-06
Epimap_v3_Reproductive_prostate_gland_male_adult__37_years_	3.455246131148712e-07	7.440239408038881e-08	1.708649477464246e-06
Epimap_v3_Pancreas_body_of_pancreas_female_adult__51_year_	4.39968561801273e-07	9.760851654490047e-08	3.2800857148925595e-06
Epimap_v3_Pancreas_body_of_pancreas_male_adult__54_years_	2.6324252133166947e-07	5.9360042292843454e-08	4.6105552099087164e-06
Epimap_v3_Other_limb_embryo__53_days__and_embryo__56_days_	5.070414144698624e-07	1.2048278438566095e-07	1.2858478942967528e-05
Epimap_v3_Urinary_urinary_bladder_male_embryo__76_days_	5.366624316912586e-07	1.2917127525122744e-07	1.628874437183333e-05
Epimap_v3_PNS_tibial_nerve_female_adult__51_year_	2.76533229773149e-07	7.048192207329732e-08	4.3642545845974757e-05
Epimap_v3_Other_breast_epithelium_female_adult__53_years_	2.467889743677202e-07	6.352575525017425e-08	5.119341181256724e-05
Epimap_v3_Other_breast_epithelium_female_adult__51_year_	3.132691592821611e-07	8.310476797003548e-08	8.176483946101173e-05
Epimap_v3_Stromal_AG08396	2.175574634900249e-07	5.784044700242312e-08	8.450347859468271e-05
Epimap_v3_Reproductive_vagina_female_adult__51_year_	3.089328212232547e-07	8.234085002582616e-08	8.77574477025894e-05
Epimap_v3_Urinary_urinary_bladder_male_adult__34_years_	4.664835095071289e-07	1.2732811454003015e-07	0.00012433139829605384
Epimap_v3_Other_epidermal_melanocyte	2.1694879400195745e-07	5.996470665662591e-08	0.00014847781112670098
Epimap_v3_Pancreas_pancreas_male_adult__34_years_	2.41466916418462e-07	6.81520337856644e-08	0.00019775446454296938
Epimap_v3_Pancreas_islet_precursor_cell	3.1292275803394143e-07	8.954061182249287e-08	0.00023724599716053402
Epimap_v3_Spleen_spleen_male_adult__54_years_	2.1508526741868205e-07	6.298175221599285e-08	0.0003188620323924529
Epimap_v3_Pancreas_pancreas_female_adult__30_years_	2.522262943821379e-07	7.42183641489383e-08	0.00033886269377618374
Epimap_v3_Reproductive_uterus_female_adult__53_years_	2.540631328827191e-07	7.513331156755287e-08	0.0003604589613313174
Epimap_v3_Neurosph_olfactory_neurosphere_cell_line	1.9324815293320678e-07	5.7940054494400954e-08	0.00042601888210700605
Epimap_v3_Placenta_EEM_HTR_8_SVneo	1.6859964561280176e-07	5.128600756446231e-08	0.0005055146027831638
Zhang_Zhang_Acinar	5.915472479815532e-07	1.8451073693443438e-07	0.0006728961082008331
Epimap_v3_Placenta_EEM_placenta_female_embryo__105_days_	2.245944376444367e-07	7.083329394035135e-08	0.0007602381452008889
Epimap_v3_Placenta_EEM_umbilical_cord_embryo__59_days__and_male_embryo__76_days_	3.0648943122579287e-07	9.819080039889099e-08	0.000900070592880347
Epimap_v3_Stromal_AG20443	1.8602261635208265e-07	6.134014402289219e-08	0.001212120335073809
Epimap_v3_Muscle_muscle_of_back_male_embryo__91_day_	1.9789768836073304e-07	6.616632925722206e-08	0.0013907267896217845
Epimap_v3_Urinary_urothelium_cell_line	1.5977679891120718e-07	5.392039908130844e-08	0.001522305099683945
Epimap_v3_Muscle_muscle_of_leg_female_embryo__115_days_	3.07674476482565e-07	1.0395205155465039e-07	0.0015393289328131964
Zhang_Zhang_Airway_Goblet	8.743575098223032e-07	2.9620517225354135e-07	0.0015793079150559237
Epimap_v3_Other_limb_embryo__58_days__and_embryo__59_days_	2.1574593414342182e-07	7.394856930683998e-08	0.0017641730304807275
Epimap_v3_Muscle_muscle_of_leg_male_embryo__115_days_	2.699270038521477e-07	9.273713967030563e-08	0.001803286397321152
Epimap_v3_Muscle_tongue_female_embryo__59_days__and_female_embryo__76_days_	3.1839618465988326e-07	1.096038721954997e-07	0.0018364295182235603
Epimap_v3_Muscle_muscle_of_leg_male_embryo__96_days_	2.684258886975864e-07	9.365207497998159e-08	0.0020771366738835673
Epimap_v3_Muscle_muscle_of_arm_male_embryo__113_days_	3.0544081223310203e-07	1.0714343498700707e-07	0.0021807058172161665
Epimap_v3_Muscle_muscle_of_leg_female_embryo__113_days_	2.18531348613066e-07	7.721704280297976e-08	0.0023267297727587147
Epimap_v3_Stromal_GM03348	1.619772914418956e-07	5.7479087813031496e-08	0.002416030514241154
