Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ABC_old_stomach-Roadmap	1.3868553472865008e-06	2.8941999737470106e-07	8.262787483777821e-07
ABC_old_HT29	1.3218367984224895e-06	2.902277419481082e-07	2.6257508690526066e-06
Epimap_v3_Adipose_adipose_tissue_male_adult__34_years_	5.396353149777233e-07	1.202918551877431e-07	3.627780698192833e-06
ABC_old_LNCAP	1.7694467090652966e-06	4.1407489211561255e-07	9.632089991941769e-06
Epimap_v3_Adipose_omental_fat_pad_female_adult__53_years_	2.443613144654317e-07	7.683768290232674e-08	0.0007357972842016477
ABC_old_LoVo	7.232036241802671e-07	2.384601019101521e-07	0.001211449871755357
ABC_old_pancreas-Roadmap	7.872099177655154e-07	2.609131392551751e-07	0.0012758846849429439
DHS_DHS_core_EMBRYONIC	2.8512130556194344e-07	9.710318325131302e-08	0.00166091745558925
ABC_old_hepatocyte-ENCODE	8.653292620127309e-07	2.9513406064312303e-07	0.001684003619489078
DHS_DHS_core_PULMONARY_DEV	1.1441316944587488e-06	3.972315990431474e-07	0.001986714366429742
ABC_old_MCF-7-ENCODE	6.512225514206211e-07	2.332991737693534e-07	0.002624333114025072
ABC_old_MDA-MB-231	6.404814051368758e-07	2.5454129374717875e-07	0.005931087951173173
ABC_old_body_of_pancreas-ENCODE	5.035633583539699e-07	2.0563927597771777e-07	0.007167240846931952
ABC_old_stomach_fetal-Roadmap	6.100476534331563e-07	2.5023097067762287e-07	0.0073856486201651006
DHS_DHS_core_CANCER_EPITHELIAL	7.091919119886083e-07	2.927965556872469e-07	0.00771487199197899
DHS_DHS_full_PULMONARY_DEV	4.282859488233574e-07	1.868111796288479e-07	0.010935115270346431
ABC_old_breast_epithelium-ENCODE	7.376963548538993e-07	3.325829273133615e-07	0.013274605540025516
DHS_DHS_full_DIGESTIVE	4.6552249408035065e-07	2.124568895806854e-07	0.014220881666161126
ABC_old_transverse_colon-ENCODE	8.067335647649742e-07	3.727190451267818e-07	0.015214727032840361
ABC_old_PC-9-ENCODE	4.6784234312541415e-07	2.2235460759332002e-07	0.017687605558224427
DHS_DHS_core_PLACENTAL_TROPHOBLAST	6.383572998372403e-07	3.132130738630163e-07	0.020770328276655835
ABC_old_H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap	4.4410855719137855e-07	2.1884581491024285e-07	0.021212768158634286
ABC_old_small_intestine_fetal-Roadmap	4.598557945737892e-07	2.3400944604340964e-07	0.024700384825076152
ABC_old_uterus-ENCODE	3.9507599312382794e-07	2.0852997807956048e-07	0.029074266207081936
DHS_DHS_full_CANCER_EPITHELIAL	1.7636177914836184e-07	9.824818406866e-08	0.036321751135788345
DHS_DHS_full_EMBRYONIC	8.371357898822219e-08	4.8254341194566085e-08	0.04138454199856549
Epimap_v3_Adipose_subcutaneous_abdominal_adipose_tissue_nuclear_fraction_female_adult__25_years_	8.159748702193709e-08	4.704061535746197e-08	0.04140426547525126
ABC_old_A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap	4.1731559417124347e-07	2.4564437093925164e-07	0.04467270662793666
DHS_DHS_core_DIGESTIVE	7.661956488278046e-07	4.5528575249134326e-07	0.0461982345539913
Epimap_v3_Adipose_omental_fat_pad_female_adult__51_year_	1.1579249628734252e-07	6.933126156646895e-08	0.04744642858215738
Epimap_v3_Adipose_subcutaneous_abdominal_adipose_tissue_nuclear_fraction_female_adult__49_years_	8.237439506928128e-08	4.9343463994928565e-08	0.047518231433423715
Epimap_v3_Blood_T_cell_CD4_positive__alpha_beta_memory_T_cell_originated_from_blood_cell	6.605009939355951e-08	3.9705471613483986e-08	0.0481060761338063
