Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Epimap_v3_Epithelial_luminal_epithelial_cell_of_mammary_gland_female_adult__33_years_	5.322335349564796e-07	1.0394990336611257e-07	1.5268968657416393e-07
Epimap_v3_Endocrine_ovary_female_embryo	6.202736694722988e-07	1.2173478785450917e-07	1.7410675896774696e-07
Epimap_v3_Epithelial_myoepithelial_cell_of_mammary_gland_female_adult__36_years_	2.5106305617455374e-07	5.023759862595394e-08	2.903720056456151e-07
Epimap_v3_Digestive_mucosa_of_stomach_male_adult__59_years_	3.503215973510007e-07	7.035443038773732e-08	3.189378439881111e-07
Epimap_v3_Digestive_stomach_male_child__3_years_	3.7406545804055954e-07	7.745920666657452e-08	6.854374744585086e-07
Epimap_v3_Digestive_stomach_male_adult__54_years_	4.5266717783387955e-07	9.733483795112752e-08	1.6547067809560874e-06
Epimap_v3_Digestive_stomach_male_adult__34_years_	4.410399886268628e-07	9.731224640880426e-08	2.9184247024155136e-06
Epimap_v3_Epithelial_HPDE6_E6E7	2.4936814595223207e-07	5.517474625511529e-08	3.0977326984896776e-06
Epimap_v3_Epithelial_epithelial_cell_of_prostate	3.199689366322699e-07	7.085155956195596e-08	3.1502419503105857e-06
Epimap_v3_Digestive_stomach_male_embryo__58_days__and_male_embryo__76_days_	5.16594370191464e-07	1.1815928996954142e-07	6.1552098157024195e-06
Epimap_v3_Epithelial_epithelial_cell_of_esophagus	3.1679754184174365e-07	7.294065785277e-08	7.020374507891785e-06
Epimap_v3_Digestive_mucosa_of_rectum_female_adult__61_year_	3.020924572844154e-07	6.958689425863239e-08	7.084484080535651e-06
Epimap_v3_Digestive_small_intestine_female_embryo__105_days_	3.9965453430778964e-07	9.262881572346436e-08	7.995292523879027e-06
Epimap_v3_Digestive_large_intestine_male_embryo__115_days_	4.6480872734634455e-07	1.1020067802733459e-07	1.2332736553001592e-05
Epimap_v3_Digestive_small_intestine_female_embryo__108_days_	4.5658138004500377e-07	1.0868144647617291e-07	1.3281193324375782e-05
Epimap_v3_Digestive_small_intestine_female_embryo__110_days_	3.380502345222648e-07	8.089878218256824e-08	1.4660205743719281e-05
Epimap_v3_Digestive_large_intestine_male_embryo__91_day_	4.3324057837142507e-07	1.0376203213899675e-07	1.4877812410632672e-05
Epimap_v3_Digestive_small_intestine_female_embryo__107_days_	4.3532185264770445e-07	1.0465364880390613e-07	1.5937247123038612e-05
Epimap_v3_Epithelial_bronchial_epithelial_cell	3.9486700708174883e-07	9.531632545923399e-08	1.7161989137122643e-05
Epimap_v3_Digestive_small_intestine_male_embryo__91_day_	3.7384353912821044e-07	9.033736476688876e-08	1.7494077595291712e-05
Epimap_v3_Digestive_small_intestine_female_embryo__120_days_	4.360134282176963e-07	1.0567087337952198e-07	1.8444674000314878e-05
Epimap_v3_Digestive_small_intestine_male_embryo__108_days_	2.3606148590708716e-07	5.7338269267071285e-08	1.9192048503677212e-05
Epimap_v3_Digestive_stomach_male_embryo__91_day_	4.612746625864249e-07	1.1251533950165649e-07	2.068785650623761e-05
Epimap_v3_Epithelial_myoepithelial_cell_of_mammary_gland_female_adult__33_years_	1.4344947638359378e-07	3.50075313156212e-08	2.0866056838838157e-05
Epimap_v3_Digestive_small_intestine_male_embryo__87_days_	4.4840006685895477e-07	1.0962647493009655e-07	2.1545103004880664e-05
Epimap_v3_Endocrine_testis_male_adult__54_years_	3.0848412096232375e-07	7.564011067629982e-08	2.2681738279741657e-05
Epimap_v3_Digestive_stomach_female_adult__51_year_	3.2592821461533925e-07	8.039302376226605e-08	2.5154664158293605e-05
Epimap_v3_Digestive_small_intestine_female_embryo__91_day_	4.031658736652502e-07	9.984305110094703e-08	2.6954848466560573e-05
Epimap_v3_Digestive_sigmoid_colon_male_adult__34_years_	2.9875093137749245e-07	7.447247383573059e-08	3.0159190827068313e-05
Epimap_v3_Epithelial_skin_of_body_female_embryo__82_days_	5.007678149971647e-07	1.260374078526329e-07	3.546147158005965e-05
Epimap_v3_Digestive_stomach_male_embryo__127_days_	4.84459775782635e-07	1.2204579375662295e-07	3.6013044854627136e-05
Epimap_v3_Endocrine_thyroid_gland_male_adult__37_years_	4.40927391537583e-07	1.1116784848390117e-07	3.649524589992984e-05
Epimap_v3_Digestive_small_intestine_male_embryo__115_days_	4.762192484798347e-07	1.2012019729886458e-07	3.6771474876531236e-05
Epimap_v3_Digestive_stomach_female_embryo__108_days_	4.5083555754060243e-07	1.1386176598074082e-07	3.755356704047948e-05
Epimap_v3_Digestive_transverse_colon_male_adult__37_years_	4.855274945021631e-07	1.2283059152197997e-07	3.861740633458547e-05
Epimap_v3_Digestive_small_intestine_male_embryo__105_days_	3.3916603223955674e-07	8.632903886963663e-08	4.269258811794548e-05
Epimap_v3_Digestive_stomach_female_embryo__121_day_	4.4006792729327885e-07	1.12074776759777e-07	4.308535424711834e-05
Epimap_v3_Digestive_stomach_female_embryo__147_days_	3.875306188818532e-07	9.920907284779948e-08	4.687918861651981e-05
Epimap_v3_Digestive_stomach_female_embryo__107_days_	4.6715340722430726e-07	1.2001328188364911e-07	4.9605339706508634e-05
Epimap_v3_Digestive_small_intestine_female_embryo__98_days_	4.2003915106430286e-07	1.0798268635719785e-07	5.014793746516109e-05
Epimap_v3_Endocrine_endocrine_pancreas_adult__59_years_	3.116799406318641e-07	8.025925980137213e-08	5.149996665630877e-05
Epimap_v3_Endocrine_endocrine_pancreas_male_adult__46_years_	4.24475653925328e-07	1.093365714411417e-07	5.1739898525341086e-05
Epimap_v3_Digestive_mucosa_of_rectum_female_adult__50_years_	3.042359912537286e-07	7.848019926020585e-08	5.296411106415915e-05
Epimap_v3_Digestive_stomach_female_embryo__105_days_	4.452370787505091e-07	1.1492908057350754e-07	5.3528224595450785e-05
Epimap_v3_Digestive_Peyer_s_patch_male_adult__54_years_	3.2802433827193824e-07	8.527226964241633e-08	5.983823348779182e-05
