Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Epimap_v3_Kidney_kidney_female_embryo__76_days__and_male_embryo__76_days_	5.265882215619019e-07	1.2073302901825287e-07	6.455972110596607e-06
Epimap_v3_Kidney_right_kidney_male_embryo__91_day_	3.735113448855324e-07	9.185602558044439e-08	2.3885855991138423e-05
Epimap_v3_Kidney_left_kidney_male_embryo__96_days_	3.848882552825551e-07	9.493765456839899e-08	2.5162131048616644e-05
Epimap_v3_iPSC_iPS_NIHi7_female_adult__85_years__originated_from_AG08395	4.077973323039656e-07	1.006594800455766e-07	2.5471705733999506e-05
Epimap_v3_Lung_right_lung_female_embryo__105_days_	3.4812056236773316e-07	8.627206745567802e-08	2.7283942617784527e-05
Epimap_v3_Lung_lung_female_embryo__76_days_	4.4605207389454123e-07	1.1080788231384124e-07	2.843270366297294e-05
Epimap_v3_Lung_right_lung_female_embryo__110_days_	2.975902777177235e-07	7.396013312472944e-08	2.8650561359100617e-05
Epimap_v3_Kidney_kidney_male_embryo__105_days_	4.849642648025055e-07	1.2152778106408937e-07	3.295832024319423e-05
Epimap_v3_Lung_right_lung_male_embryo__87_days_	3.446165269400017e-07	8.710736748115238e-08	3.807139167422597e-05
Epimap_v3_Kidney_left_kidney_female_embryo__107_days_	4.940582558808871e-07	1.2517250745777805e-07	3.9565152062416205e-05
Epimap_v3_Kidney_right_renal_pelvis_male_embryo__105_days_	4.29453656495018e-07	1.0928179067256907e-07	4.251138623875351e-05
Epimap_v3_Lung_lung_female_embryo__82_days_	3.893330837242992e-07	9.995741689159503e-08	4.910150303726728e-05
Epimap_v3_Lung_left_lung_male_embryo__96_days_	3.410659452175114e-07	8.75788392311549e-08	4.92235643010422e-05
Epimap_v3_Kidney_right_kidney_female_embryo__107_days_	4.3465132781224725e-07	1.1198981263194692e-07	5.197790084640717e-05
Epimap_v3_Lung_left_lung_female_embryo__98_days_	3.2529988779134815e-07	8.40909563612923e-08	5.476942788392414e-05
Epimap_v3_Lung_lung_embryo__101_day_	3.328998843990702e-07	8.618699133803331e-08	5.6109270392658026e-05
Epimap_v3_Lung_left_lung_male_embryo__105_days_	2.7846182272876635e-07	7.237723889109439e-08	5.9696951861437305e-05
Epimap_v3_Kidney_left_kidney_female_embryo__110_days_	3.93154620785926e-07	1.0244278470592235e-07	6.207149844944502e-05
Epimap_v3_Lung_left_lung_male_embryo__113_days_	3.255999886286313e-07	8.484185999738412e-08	6.208893895012256e-05
Epimap_v3_iPSC_CWRU1_male	3.389099245909168e-07	8.840626794200749e-08	6.31533352507082e-05
Epimap_v3_Kidney_renal_cortex_interstitium_male_embryo__97_days_	4.2057313122717025e-07	1.0998335993227676e-07	6.565979920758218e-05
Epimap_v3_Lung_left_lung_female_embryo__105_days_	3.2162427308780273e-07	8.430305623102048e-08	6.806493360978778e-05
Epimap_v3_Kidney_kidney_female_embryo__108_days_	5.159284732710014e-07	1.3553832723462199e-07	7.0469799487495e-05
Epimap_v3_Lung_right_lung_male_embryo__115_days_	3.4035876532296893e-07	8.946763569850342e-08	7.111238336710784e-05
Epimap_v3_Lung_left_lung_male_embryo__115_days_	3.2220468791364703e-07	8.47535487764596e-08	7.186318614038437e-05
Epimap_v3_Kidney_renal_pelvis_male_embryo__91_day_	4.748931208641124e-07	1.2498377096203883e-07	7.245371878506205e-05
Epimap_v3_Liver_liver_female_embryo__101_day__and_female_embryo__113_days_	3.594312531555753e-07	9.535435706769071e-08	8.181149768974499e-05
Epimap_v3_Lung_left_lung_female_embryo__107_days_	3.2355954626081665e-07	8.613486354121889e-08	8.617738234648325e-05
Epimap_v3_Lung_right_lung_female_embryo__108_days_	3.191548387009568e-07	8.515071600386064e-08	8.908360345849727e-05
Epimap_v3_Lung_lung_male_embryo__103_days_	2.981288622202452e-07	7.99085063231833e-08	9.540693082962294e-05
Epimap_v3_Kidney_renal_pelvis_female_embryo__89_days_	3.995916231744056e-07	1.0729161002580737e-07	9.790913279232637e-05
Epimap_v3_Lung_right_lung_male_embryo__105_days_	2.873318481442485e-07	7.745499370577406e-08	0.0001037680572495994
Epimap_v3_Lung_left_lung_female_embryo__108_days_	3.039975214977479e-07	8.212907140029094e-08	0.0001071809751825609
Epimap_v3_Kidney_right_renal_pelvis_male_embryo__120_days_	4.2306299129127835e-07	1.1483398376582971e-07	0.00011474385957792225
Epimap_v3_Kidney_right_kidney_male_embryo__87_days_	3.9438205974364285e-07	1.0731191411652585e-07	0.00011887794406490677
Epimap_v3_Kidney_renal_pelvis_male_embryo__127_days_	4.3128284990826e-07	1.1760471159472581e-07	0.00012259887411957218
Epimap_v3_Lung_upper_lobe_of_left_lung_male_adult__37_years_	2.4163896743166747e-07	6.592374180291004e-08	0.00012346089362679768
Epimap_v3_Kidney_left_renal_cortex_interstitium_male_embryo__105_days_	3.8684413797055953e-07	1.0609923124271658e-07	0.00013314603497939438
Epimap_v3_Kidney_renal_cortex_interstitium_male_embryo__108_days_	3.92331940841184e-07	1.0768946704499368e-07	0.00013464602514881544
Epimap_v3_Lung_left_lung_female_embryo__91_day_	3.3311258287199696e-07	9.149896235378463e-08	0.00013599328632261291
Epimap_v3_Lung_right_lung_female_embryo__91_day_	3.292701657979814e-07	9.045711947233177e-08	0.00013628244055047652
Epimap_v3_Kidney_left_renal_cortex_interstitium_male_embryo__120_days_	4.3257246216880737e-07	1.1886206905578208e-07	0.00013670020101173993
Epimap_v3_Lung_right_lung_female_embryo__98_days_	3.1265161592072684e-07	8.597911558393281e-08	0.00013825517006442592
Epimap_v3_Kidney_left_kidney_female_embryo__87_days_	3.798942012923719e-07	1.0467255025129379e-07	0.00014206325766775811
Epimap_v3_Kidney_right_kidney_female_embryo__98_days_	3.8755363097586606e-07	1.0690324145210007e-07	0.00014432715293396514
Epimap_v3_Kidney_right_kidney_male_embryo__96_days_	3.552586239820149e-07	9.803665179257141e-08	0.0001451908366005536
Epimap_v3_Lung_lung_male_embryo__54_days__and_male_embryo__58_days_	3.8539413347289754e-07	1.0639604600084749e-07	0.0001460202282757889
Epimap_v3_Kidney_left_kidney_male_embryo__87_days_	3.8660695922530565e-07	1.0682139043045707e-07	0.00014776302756256147
Epimap_v3_Kidney_renal_pelvis_female_embryo__96_days_	4.0156495355682937e-07	1.1107267004501433e-07	0.00014997951989864728
Epimap_v3_Kidney_renal_pelvis_male_embryo__113_days_	4.1655592964229076e-07	1.1548559188401371e-07	0.00015488193163088127
Epimap_v3_Kidney_right_kidney_female_embryo__117_days_	3.431210798878124e-07	9.517199130424862e-08	0.00015591204065434092
